employee_id,rating,year,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,Commercial Savvy & Impact,Curiosity & Experimentation,Forward Thinking & Clarity,Growth Drive & Resilience,Insight & Decision Sharpness,"Lead, Inspire & Empower",Quality Delivery Discipline,Social Empathy & Awareness,Synergy & Team Orientation,Value Creation for Users,papi_score,rank,is_top
EMP100007,2.0,2025,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4,2.0,2.0,2.0,2.0,,2.0,3.0,1.0,1.0,2.0,5.052631578947368,7.5,0
EMP100008,3.0,2025,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,5.055555555555555,7.5,0
EMP100009,,2025,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.842105263157895,7.5,0
EMP100010,5.0,2025,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2,5.0,5.0,4.0,,5.0,4.0,5.0,5.0,4.0,,4.9411764705882355,7.5,1
EMP100011,5.0,2025,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10,5.0,,5.0,4.0,0.0,5.0,,5.0,4.0,5.0,5.0588235294117645,7.5,1
EMP100012,5.0,2025,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.105263157894737,7.5,1
EMP100013,2.0,2025,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,4.777777777777778,7.5,0
EMP100014,3.0,2025,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.6875,7.5,0
EMP100015,,2025,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28,65,77,DC,Dominant-Conscientious,ENFP,,,7,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.222222222222222,7.5,0
EMP100016,2.0,2025,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5,3.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,4.777777777777778,7.5,0
EMP100017,4.0,2025,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,3.0,3.8947368421052633,7.5,0
EMP100018,2.0,2025,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53,66,69,SC,Steadiness-Conscientious,ESFJ,,28.0,3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,5.684210526315789,7.5,0
EMP100019,3.0,2025,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10,3.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.894736842105263,7.5,0
EMP100020,4.0,2025,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1,4.0,4.0,3.0,,5.0,4.0,4.0,5.0,4.0,4.0,4.666666666666667,7.5,0
EMP100021,,2025,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81,22,34,CS,Conscientious-Steadiness,INFP,,,2,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.2105263157894735,7.5,0
EMP100022,4.0,2025,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53,49,94,,Influencer-Conscientious,ISTP,91.0,35.0,8,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,7.5,0
EMP100023,3.0,2025,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5,2.0,4.0,,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.2631578947368425,7.5,0
EMP100024,5.0,2025,Rendra Candra Maulida,884289,2,1,5,3,2,2,2,3,4,44,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.55,7.5,1
EMP100025,,2025,Rizky Dharma Purnama,786831,1,3,1,2,5,3,3,2,2,20,53,71,CS,Conscientious-Steadiness,ESTJ,,34.0,8,3.0,3.0,,3.0,3.0,3.0,4.0,,4.0,3.0,5.5,7.5,0
EMP100026,5.0,2025,Wulan Yudhistira Tamba,926498,4,1,4,2,5,2,2,4,3,65,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.473684210526316,7.5,1
EMP100027,1.0,2025,Oka Rohman,176075,3,3,2,1,5,1,3,3,2,132,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.833333333333333,7.5,0
EMP100028,3.0,2025,Nadia Saputra,373327,3,1,3,3,4,1,2,4,5,22,95,71,SI,Steadiness-Influencer,INFP,107.0,20.0,3,4.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.526315789473684,7.5,0
EMP100029,,2025,Satya Adi Hasibuan,491714,3,3,5,6,5,1,1,1,5,32,93,85,DC,Dominant-Conscientious,INTP,105.0,29.0,10,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.9375,7.5,0
EMP100030,3.0,2025,Rizky Anugrah Permadi,276288,3,1,5,3,4,2,3,3,4,56,46,100,DS,Dominant-Steadiness,ESTJ,110.0,22.0,4,3.0,3.0,3.0,,3.0,2.0,4.0,,3.0,3.0,4.95,7.5,0
EMP100031,2.0,2025,Julia Nabila Kurniawan,379652,4,4,3,2,4,3,2,4,2,34,34,93,CD,Conscientious-Dominant,INTJ,103.0,35.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,7.5,0
EMP100032,3.0,2025,Galih Mahardika Purnama,980623,2,1,3,6,3,3,1,4,2,34,29,85,DS,Dominant-Steadiness,ENTJ,,36.0,7,3.0,3.0,2.0,,2.0,3.0,2.0,,3.0,3.0,5.105263157894737,7.5,0
EMP100033,2.0,2025,Ahmad Simanjuntak,846300,2,2,5,3,1,3,2,4,3,37,53,83,ID,Influencer-Dominant,ENFP,117.0,23.0,6,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,,1.0,4.166666666666667,7.5,0
EMP100034,,2025,Ari Adi Ginting,510070,1,4,6,5,5,2,1,4,1,86,34,35,DS,Dominant-Steadiness,ENFP,116.0,35.0,5,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.388888888888889,7.5,0
EMP100035,2.0,2025,Oka Tamba,243414,3,4,1,5,4,3,3,2,4,57,84,36,DI,Dominant-Influencer,,103.0,28.0,7,2.0,3.0,2.0,2.0,,1.0,2.0,,2.0,1.0,4.222222222222222,7.5,0
EMP100036,3.0,2025,Ayunda Utama Lestari,515963,2,1,1,6,4,3,3,2,3,54,96,81,CD,Conscientious-Dominant,ESFJ,120.0,28.0,3,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.625,7.5,0
EMP100037,4.0,2025,Nabila Ramadhan,967856,1,1,6,4,2,1,2,2,6,52,45,41,,Conscientious-Influencer,ISTJ,,,1,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.95,7.5,0
EMP100038,,2025,Bella Tri Setiawan,446315,3,3,6,5,3,2,3,4,2,50,28,51,IC,Influencer-Conscientious,ESFP,93.0,36.0,2,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.842105263157895,7.5,0
EMP100039,5.0,2025,Budi Adi Permadi,476249,2,2,4,3,2,2,1,3,4,65,51,52,SI,Steadiness-Influencer,ISFP,125.0,41.0,9,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.2631578947368425,7.5,1
EMP100040,2.0,2025,Rifqi Putra,751135,3,1,4,2,2,3,2,4,2,81,55,36,ID,Influencer-Dominant,ESTP,112.0,24.0,10,,2.0,2.0,2.0,,3.0,1.0,2.0,2.0,2.0,4.166666666666667,7.5,0
EMP100041,5.0,2025,Lestari Maulana,135400,4,2,3,6,2,1,1,2,4,99,53,32,IS,Influencer-Steadiness,ISTJ,86.0,25.0,7,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.529411764705882,7.5,1
EMP100042,4.0,2025,Oka Lukman,191210,3,3,6,2,4,2,1,4,3,28,63,43,CD,Conscientious-Dominant,ENFP,139.0,25.0,1,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,7.5,0
EMP100043,4.0,2025,Nugroho Indrawan,123837,2,2,3,4,2,2,1,1,3,40,41,97,SD,Steadiness-Dominant,ESFJ,,,9,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.833333333333333,7.5,0
EMP100044,4.0,2025,Indra Maulida,742065,4,4,5,3,1,2,1,2,6,8,74,44,ID,Influencer-Dominant,ESFP,82.0,41.0,5,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.7368421052631575,7.5,0
EMP100045,3.0,2025,Dimas Mahendra,581488,2,3,2,3,4,1,3,1,5,38,99,71,DS,Dominant-Steadiness,ISTJ,111.0,23.0,1,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,4.0,2.0,5.555555555555555,7.5,0
EMP100046,2.0,2025,Fitri Lestari,117913,3,4,1,4,3,1,2,2,6,64,67,91,,Dominant-Conscientious,ISTJ,,,6,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,4.684210526315789,7.5,0
EMP100047,1.0,2025,Hadi Pradana,161695,3,2,2,2,5,1,1,3,5,58,61,55,ID,Influencer-Dominant,ISTJ,110.0,22.0,1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.166666666666667,7.5,0
EMP100048,3.0,2025,Adit Halim,557326,3,4,4,5,4,3,1,4,6,50,37,32,SI,Steadiness-Influencer,ESFJ,125.0,36.0,1,3.0,3.0,2.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,4.052631578947368,7.5,0
EMP100049,4.0,2025,Rizki Halim Siregar,453636,1,4,5,1,1,1,3,4,6,35,94,30,DC,Dominant-Conscientious,INTP,133.0,27.0,5,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.368421052631579,7.5,0
EMP100050,5.0,2025,Joko Ridwan,411437,4,3,4,3,5,3,1,2,2,69,81,54,DC,Dominant-Conscientious,,131.0,32.0,6,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.7368421052631575,7.5,1
EMP100051,2.0,2025,Ari Mahardika Nugroho,286318,4,4,5,1,4,3,1,3,5,98,94,61,CS,Conscientious-Steadiness,INFP,110.0,36.0,7,3.0,1.0,1.0,2.0,3.0,,2.0,1.0,2.0,3.0,4.052631578947368,7.5,0
EMP100052,5.0,2025,Sari Yudhistira Mahendra,740192,1,4,4,2,1,2,3,3,3,23,69,55,IC,Influencer-Conscientious,ISTJ,126.0,36.0,10,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.2105263157894735,7.5,1
EMP100053,4.0,2025,Anisa Pamungkas,770602,1,3,1,3,3,1,3,3,5,52,97,71,IS,Influencer-Steadiness,ISFJ,140.0,23.0,5,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.526315789473684,7.5,0
EMP100054,5.0,2025,Nugroho Maulida,239182,2,4,4,3,5,1,1,2,3,22,23,42,SI,Steadiness-Influencer,ISTJ,88.0,36.0,8,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,6.0,5.0,7.5,1
EMP100055,4.0,2025,Putri Nugroho,153339,1,2,6,1,4,1,2,4,5,42,50,80,DS,Dominant-Steadiness,INFJ,124.0,26.0,9,3.0,5.0,3.0,4.0,4.0,3.0,4.0,,3.0,4.0,5.65,7.5,0
EMP100056,3.0,2025,Ayunda Ramadhan,401856,4,4,1,4,3,2,1,3,3,96,44,20,CI,Conscientious-Influencer,INTJ,,,5,3.0,,3.0,3.0,3.0,3.0,4.0,,2.0,4.0,4.666666666666667,7.5,0
EMP100057,3.0,2025,Nurlita Kusuma,285929,3,2,6,2,4,3,3,1,4,60,39,27,IS,Influencer-Steadiness,ENTP,123.0,35.0,9,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,5.105263157894737,7.5,0
EMP100058,4.0,2025,Adit Anugrah Halim,827158,3,3,2,4,1,2,3,2,4,66,60,96,CS,Conscientious-Steadiness,INTJ,,,8,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,2.0,5.0,7.5,0
EMP100059,5.0,2025,Fajar Dharma Subekti,404880,2,3,3,2,4,1,3,4,6,75,64,77,SI,Steadiness-Influencer,,92.0,13.0,9,5.0,,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.421052631578948,7.5,1
EMP100060,5.0,2025,Wulan Maulida,302930,1,4,3,4,1,3,2,2,2,44,46,96,CS,Conscientious-Steadiness,ENTP,,,7,4.0,3.0,,3.0,2.0,3.0,,3.0,2.0,3.0,5.555555555555555,7.5,1
EMP100061,3.0,2025,Oktavia Anugrah Setiawan,275683,4,3,6,4,1,1,3,1,5,46,92,22,IC,Influencer-Conscientious,ENTP,,,6,2.0,,3.0,2.0,3.0,3.0,,3.0,6.0,3.0,5.631578947368421,7.5,0
EMP100062,3.0,2025,Valdo Jatmiko Mahendra,249908,3,3,4,6,3,2,2,3,2,40,42,25,,Dominant-Influencer,ISTP,89.0,31.0,8,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,5.611111111111111,7.5,0
EMP100063,3.0,2025,Ayu Lestari Pradana,461165,2,1,1,4,2,1,1,3,5,42,45,96,SC,Steadiness-Conscientious,ESFP,,,8,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.45,7.5,0
EMP100064,2.0,2025,Kurnia Purnama,551120,1,2,6,5,4,3,3,1,6,38,55,27,IS,Influencer-Steadiness,ESTP,96.0,26.0,4,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,7.5,0
EMP100065,4.0,2025,Rani Saputra,240200,1,4,1,1,4,2,2,1,4,24,22,29,CS,Conscientious-Steadiness,ISFP,90.0,34.0,10,4.0,5.0,4.0,4.0,,5.0,,4.0,3.0,,5.0588235294117645,7.5,0
EMP100066,3.0,2025,Tania Lestari Setiawan,378824,1,4,3,1,2,1,1,1,1,65,54,64,CD,Conscientious-Dominant,ENTJ,84.0,28.0,10,3.0,3.0,4.0,,3.0,3.0,3.0,3.0,3.0,4.0,5.055555555555555,7.5,0
EMP100067,3.0,2025,Indra Zulfikar,696462,1,3,3,1,2,1,3,1,1,89,40,38,SD,Steadiness-Dominant,INTJ,101.0,20.0,6,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,,4.0,6.352941176470588,7.5,0
EMP100068,1.0,2025,Nabila Qolbi Suharto,671201,4,1,3,2,5,2,1,4,1,68,34,60,DI,Dominant-Influencer,INTP,,16.0,5,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,4.368421052631579,7.5,0
EMP100069,,2025,Anisa Permadi,252350,1,3,4,2,4,3,1,2,2,61,36,41,IC,Influencer-Conscientious,INFJ,93.0,36.0,10,3.0,2.0,,3.0,3.0,3.0,4.0,,,3.0,5.85,7.5,0
EMP100070,,2025,Kartika Rachman Ramadhan,855424,3,4,6,2,4,3,1,1,5,47,74,38,DC,Dominant-Conscientious,ENFJ,137.0,36.0,2,2.0,2.0,3.0,3.0,3.0,99.0,3.0,3.0,4.0,3.0,4.95,7.5,0
EMP100071,3.0,2025,Rafa Situmorang,871247,2,3,4,3,4,3,1,2,4,72,38,52,DC,Dominant-Conscientious,ENTP,107.0,35.0,7,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.894736842105263,7.5,0
EMP100072,2.0,2025,Nugroho Hartanto,161630,2,1,3,5,3,1,1,3,6,45,92,40,CI,Conscientious-Influencer,INFP,87.0,32.0,4,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.944444444444445,7.5,0
EMP100073,2.0,2025,Dimas Halim Ananda,972245,2,3,3,3,5,1,3,3,1,85,42,31,IC,Influencer-Conscientious,ESTJ,104.0,35.0,9,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,5.555555555555555,7.5,0
EMP100074,3.0,2025,Ari Utama Putra,100945,4,1,2,1,3,2,3,1,3,32,52,76,CI,Conscientious-Influencer,INTJ,131.0,25.0,4,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,,4.25,7.5,0
EMP100075,5.0,2025,Rizki Halim Zulfikar,290052,3,1,5,4,5,3,1,4,4,24,31,78,ID,Influencer-Dominant,INTP,,,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.368421052631579,7.5,1
EMP100076,4.0,2025,Rizki Wijaya,458782,1,3,6,5,4,2,1,3,1,4,90,52,IS,Influencer-Steadiness,ESFP,80.0,34.0,4,,4.0,3.0,,5.0,4.0,4.0,4.0,4.0,3.0,4.529411764705882,7.5,0
EMP100077,2.0,2025,Novi Setiawan,115692,3,4,3,3,1,3,1,3,5,35,79,57,CD,Conscientious-Dominant,ENFJ,135.0,32.0,1,2.0,,2.0,3.0,1.0,3.0,2.0,,2.0,1.0,4.7368421052631575,7.5,0
EMP100078,3.0,2025,Indra Anggara,811320,1,1,6,3,1,3,3,4,1,39,99,46,SI,Steadiness-Influencer,ISTP,84.0,19.0,8,2.0,3.0,,4.0,3.0,3.0,2.0,3.0,3.0,4.0,5.105263157894737,7.5,0
EMP100079,3.0,2025,Novi Hasibuan,298849,4,4,3,3,4,1,1,1,5,67,22,38,DS,Dominant-Steadiness,ISTJ,122.0,23.0,5,4.0,,3.0,4.0,,4.0,4.0,3.0,3.0,4.0,4.684210526315789,7.5,0
EMP100080,3.0,2025,Andi Mahardika Handayani,274945,2,1,2,3,3,3,2,4,2,43,55,29,DC,Dominant-Conscientious,ENFJ,87.0,36.0,8,3.0,3.0,3.0,2.0,4.0,,3.0,3.0,3.0,3.0,4.473684210526316,7.5,0
EMP100081,4.0,2025,Ari Yulianto,447230,1,4,6,1,3,3,3,3,3,85,49,31,CS,Conscientious-Steadiness,ENFP,138.0,23.0,7,3.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.789473684210526,7.5,0
EMP100082,4.0,2025,Budi Dharma Lukman,247239,3,4,1,3,2,3,3,4,1,63,94,39,,Conscientious-Steadiness,INTP,133.0,27.0,6,4.0,3.0,4.0,3.0,3.0,4.0,,5.0,3.0,4.0,3.5,7.5,0
EMP100083,,2025,Rizka Erlangga Subekti,286153,1,3,6,6,1,3,2,4,1,19,50,81,CD,Conscientious-Dominant,ENTJ,99.0,30.0,2,,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,5.529411764705882,7.5,0
EMP100084,4.0,2025,Dian Rachman Handayani,735572,1,3,6,2,1,3,2,1,2,16,56,48,SD,Steadiness-Dominant,,118.0,36.0,5,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.368421052631579,7.5,0
EMP100085,4.0,2025,Ahmad Rohman,540638,2,4,2,3,4,2,3,2,1,22,86,61,,Conscientious-Steadiness,ENTJ,,26.0,8,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,7.5,0
EMP100086,4.0,2025,Rani Syahputra,503804,3,3,4,6,5,1,3,3,3,23,79,76,IC,Influencer-Conscientious,ISTJ,110.0,36.0,3,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.578947368421052,7.5,0
EMP100087,1.0,2025,Rizka Ananda,649357,2,1,1,6,2,2,3,3,3,12,36,63,DS,Dominant-Steadiness,ENFP,109.0,25.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.2631578947368425,7.5,0
EMP100088,2.0,2025,Nadia Saputra Mahendra,192144,2,4,3,2,4,1,1,3,6,38,29,88,CS,Conscientious-Steadiness,ISFP,83.0,29.0,5,2.0,3.0,2.0,2.0,,2.0,2.0,1.0,,1.0,5.35,7.5,0
EMP100089,,2025,Umar Simanjuntak,179520,1,2,5,4,3,3,3,2,4,56,97,26,CD,Conscientious-Dominant,,,,10,2.0,4.0,2.0,,,4.0,2.0,3.0,3.0,3.0,5.5,7.5,0
EMP100090,4.0,2025,Maya Pratomo,304860,2,4,6,5,4,2,2,2,5,27,48,96,DS,Dominant-Steadiness,ESTJ,,29.0,1,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.578947368421052,7.5,0
EMP100091,4.0,2025,Oka Candra Firmansyah,109937,4,1,3,3,1,1,2,3,1,10,36,83,DS,Dominant-Steadiness,ENFP,102.0,23.0,6,4.0,4.0,3.0,4.0,5.0,4.0,,,4.0,4.0,4.315789473684211,7.5,0
EMP100092,3.0,2025,Ahmad Indrawan,810984,2,1,2,4,1,3,3,2,2,68,43,51,IC,Influencer-Conscientious,ENTJ,,,1,3.0,,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.722222222222222,7.5,0
EMP100093,2.0,2025,Nadia Lestari Utami,218189,1,1,2,5,3,3,2,2,6,57,71,31,CS,Conscientious-Steadiness,ENTP,93.0,24.0,3,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,5.421052631578948,7.5,0
