employee_id,rating,year,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
EMP100035,2.0,2025,Oka Tamba,243414,3,4,1,5,4,3,3,2,4,57
EMP100036,3.0,2025,Ayunda Utama Lestari,515963,2,1,1,6,4,3,3,2,3,54
EMP100037,4.0,2025,Nabila Ramadhan,967856,1,1,6,4,2,1,2,2,6,52
EMP100038,,2025,Bella Tri Setiawan,446315,3,3,6,5,3,2,3,4,2,50
EMP100039,5.0,2025,Budi Adi Permadi,476249,2,2,4,3,2,2,1,3,4,65
EMP100040,2.0,2025,Rifqi Putra,751135,3,1,4,2,2,3,2,4,2,81
EMP100041,5.0,2025,Lestari Maulana,135400,4,2,3,6,2,1,1,2,4,99
EMP100042,4.0,2025,Oka Lukman,191210,3,3,6,2,4,2,1,4,3,28
EMP100043,4.0,2025,Nugroho Indrawan,123837,2,2,3,4,2,2,1,1,3,40
EMP100044,4.0,2025,Indra Maulida,742065,4,4,5,3,1,2,1,2,6,8
EMP100045,3.0,2025,Dimas Mahendra,581488,2,3,2,3,4,1,3,1,5,38
EMP100046,2.0,2025,Fitri Lestari,117913,3,4,1,4,3,1,2,2,6,64
EMP100047,1.0,2025,Hadi Pradana,161695,3,2,2,2,5,1,1,3,5,58
EMP100048,3.0,2025,Adit Halim,557326,3,4,4,5,4,3,1,4,6,50
EMP100049,4.0,2025,Rizki Halim Siregar,453636,1,4,5,1,1,1,3,4,6,35
EMP100050,5.0,2025,Joko Ridwan,411437,4,3,4,3,5,3,1,2,2,69
EMP100051,2.0,2025,Ari Mahardika Nugroho,286318,4,4,5,1,4,3,1,3,5,98
EMP100052,5.0,2025,Sari Yudhistira Mahendra,740192,1,4,4,2,1,2,3,3,3,23
EMP100053,4.0,2025,Anisa Pamungkas,770602,1,3,1,3,3,1,3,3,5,52
EMP100054,5.0,2025,Nugroho Maulida,239182,2,4,4,3,5,1,1,2,3,22
EMP100055,4.0,2025,Putri Nugroho,153339,1,2,6,1,4,1,2,4,5,42
EMP100056,3.0,2025,Ayunda Ramadhan,401856,4,4,1,4,3,2,1,3,3,96
EMP100057,3.0,2025,Nurlita Kusuma,285929,3,2,6,2,4,3,3,1,4,60
EMP100058,4.0,2025,Adit Anugrah Halim,827158,3,3,2,4,1,2,3,2,4,66
EMP100059,5.0,2025,Fajar Dharma Subekti,404880,2,3,3,2,4,1,3,4,6,75
EMP100060,5.0,2025,Wulan Maulida,302930,1,4,3,4,1,3,2,2,2,44
EMP100061,3.0,2025,Oktavia Anugrah Setiawan,275683,4,3,6,4,1,1,3,1,5,46
EMP100062,3.0,2025,Valdo Jatmiko Mahendra,249908,3,3,4,6,3,2,2,3,2,40
EMP100063,3.0,2025,Ayu Lestari Pradana,461165,2,1,1,4,2,1,1,3,5,42
EMP100064,2.0,2025,Kurnia Purnama,551120,1,2,6,5,4,3,3,1,6,38
EMP100065,4.0,2025,Rani Saputra,240200,1,4,1,1,4,2,2,1,4,24
EMP100066,3.0,2025,Tania Lestari Setiawan,378824,1,4,3,1,2,1,1,1,1,65
EMP100067,3.0,2025,Indra Zulfikar,696462,1,3,3,1,2,1,3,1,1,89
EMP100068,1.0,2025,Nabila Qolbi Suharto,671201,4,1,3,2,5,2,1,4,1,68
EMP100069,,2025,Anisa Permadi,252350,1,3,4,2,4,3,1,2,2,61
EMP100070,,2025,Kartika Rachman Ramadhan,855424,3,4,6,2,4,3,1,1,5,47
EMP100071,3.0,2025,Rafa Situmorang,871247,2,3,4,3,4,3,1,2,4,72
EMP100072,2.0,2025,Nugroho Hartanto,161630,2,1,3,5,3,1,1,3,6,45
EMP100073,2.0,2025,Dimas Halim Ananda,972245,2,3,3,3,5,1,3,3,1,85
EMP100074,3.0,2025,Ari Utama Putra,100945,4,1,2,1,3,2,3,1,3,32
EMP100075,5.0,2025,Rizki Halim Zulfikar,290052,3,1,5,4,5,3,1,4,4,24
EMP100076,4.0,2025,Rizki Wijaya,458782,1,3,6,5,4,2,1,3,1,4
EMP100077,2.0,2025,Novi Setiawan,115692,3,4,3,3,1,3,1,3,5,35
EMP100078,3.0,2025,Indra Anggara,811320,1,1,6,3,1,3,3,4,1,39
EMP100079,3.0,2025,Novi Hasibuan,298849,4,4,3,3,4,1,1,1,5,67
EMP100080,3.0,2025,Andi Mahardika Handayani,274945,2,1,2,3,3,3,2,4,2,43
EMP100081,4.0,2025,Ari Yulianto,447230,1,4,6,1,3,3,3,3,3,85
EMP100082,4.0,2025,Budi Dharma Lukman,247239,3,4,1,3,2,3,3,4,1,63
EMP100083,,2025,Rizka Erlangga Subekti,286153,1,3,6,6,1,3,2,4,1,19
EMP100084,4.0,2025,Dian Rachman Handayani,735572,1,3,6,2,1,3,2,1,2,16
EMP100085,4.0,2025,Ahmad Rohman,540638,2,4,2,3,4,2,3,2,1,22
EMP100086,4.0,2025,Rani Syahputra,503804,3,3,4,6,5,1,3,3,3,23
EMP100087,1.0,2025,Rizka Ananda,649357,2,1,1,6,2,2,3,3,3,12
EMP100088,2.0,2025,Nadia Saputra Mahendra,192144,2,4,3,2,4,1,1,3,6,38
EMP100089,,2025,Umar Simanjuntak,179520,1,2,5,4,3,3,3,2,4,56
EMP100090,4.0,2025,Maya Pratomo,304860,2,4,6,5,4,2,2,2,5,27
EMP100091,4.0,2025,Oka Candra Firmansyah,109937,4,1,3,3,1,1,2,3,1,10
EMP100092,3.0,2025,Ahmad Indrawan,810984,2,1,2,4,1,3,3,2,2,68
EMP100093,2.0,2025,Nadia Lestari Utami,218189,1,1,2,5,3,3,2,2,6,57
EMP100094,4.0,2025,Nadia Utama Yulianto,838236,4,1,1,3,3,3,1,2,4,33
EMP100095,3.0,2025,Fitri Pamungkas,186709,2,4,3,4,5,2,2,3,5,41
EMP100096,2.0,2025,Rama Dharma Wibowo,349891,4,3,2,6,2,1,2,3,4,77
EMP100097,3.0,2025,Valdo Subekti,922054,1,1,6,2,1,3,1,2,3,64
EMP100098,3.0,2025,Indra Hidayat,843650,3,4,3,3,1,1,3,2,1,57
EMP100099,3.0,2025,Tania Suharto,635643,3,4,4,4,2,2,1,2,6,46
EMP100100,1.0,2025,Intan Rachman Suharto,198295,4,4,1,4,1,1,2,1,2,55
EMP100101,4.0,2025,Yoga Pratomo,264764,3,1,4,1,1,2,3,4,5,51
EMP100102,,2025,Dinda Permadi,342888,1,2,3,6,1,3,1,3,3,22
EMP100103,5.0,2025,Ayu Ginting,310700,4,1,2,3,1,3,2,1,1,32
EMP100104,1.0,2025,Budi Pratama,642860,4,4,4,3,3,2,1,4,6,81
EMP100105,1.0,2025,Maya Yulianto,653381,2,1,1,4,4,2,1,4,1,16
EMP100106,1.0,2025,Valdo Wijaya Wijaya,335938,3,3,1,6,5,3,3,4,1,64
EMP100107,,2025,Dian Fauziah,273235,4,2,4,5,3,1,2,4,4,45
EMP100108,4.0,2025,Dinda Erlangga Handayani,455098,4,2,3,3,5,3,2,2,6,58
EMP100109,1.0,2025,Dinda Wibowo,127614,3,1,2,3,4,3,3,4,4,55
EMP100110,3.0,2025,Citra Hartanto,528735,3,2,5,3,5,2,3,3,4,46
EMP100111,2.0,2025,Rendra Herlambang,510681,2,2,3,6,4,1,3,3,5,44
EMP100112,2.0,2025,Adit Mahardika Pratama,874330,4,4,3,1,4,3,1,1,3,36
EMP100113,,2025,Iman Rachman Rahmawati,313238,1,4,1,6,3,1,2,1,5,55
EMP100114,5.0,2025,Vania Fadillah Fauziah,475116,2,2,4,4,5,2,2,4,2,15
EMP100115,2.0,2025,Satya Yudhistira Lukman,804211,2,1,1,2,4,2,1,3,4,41
EMP100116,,2025,Bayu Ridwan,747077,2,2,6,4,3,2,3,2,5,50
EMP100117,4.0,2025,Prasetyo Gunawan,362939,4,4,4,6,2,2,2,2,6,39
EMP100118,,2025,Julia Pramudita Hartanto,244488,4,4,4,2,5,3,3,2,4,53
EMP100119,4.0,2025,Iman Ginting,562438,2,2,6,1,3,1,2,2,3,1
EMP100120,2.0,2025,Iman Maulida,949849,4,2,2,1,2,1,2,1,3,52
EMP100121,3.0,2025,Bayu Hidayat,174665,1,3,4,3,2,3,1,2,4,56
EMP100122,1.0,2025,Rizki Simanjuntak,580039,2,3,6,4,1,3,3,2,2,10
EMP100123,2.0,2025,Kurnia Jatmiko Permadi,557929,2,1,5,2,1,1,2,4,2,54
EMP100124,2.0,2025,Maya Nabila Salsabila,614276,2,4,2,4,5,2,1,1,2,52
EMP100125,4.0,2025,Nabila Lestari Santoso,500320,2,4,5,1,3,2,3,1,1,45
EMP100126,3.0,2025,Vania Siregar,549217,3,4,5,5,1,3,3,3,3,67
EMP100127,3.0,2025,Lestari Gunawan,809952,1,3,6,4,1,1,3,3,6,26
EMP100128,2.0,2025,Ahmad Siregar,282135,1,1,4,6,4,2,2,2,3,58
EMP100129,2.0,2025,Dian Utama Kusuma,445242,4,4,2,1,1,1,2,3,2,17
EMP100130,4.0,2025,Citra Rahmawati,328046,2,3,1,1,2,3,1,4,3,68
EMP100131,3.0,2025,Ayunda Adi Hartanto,190746,1,1,4,5,4,1,3,3,3,58
EMP100132,2.0,2025,Maya Ramadhan,378744,1,2,2,5,4,2,3,2,6,46
EMP100133,3.0,2025,Rendra Handayani,851667,2,2,4,2,1,3,1,3,1,30
EMP100134,3.0,2025,Rifqi Wijaya,526403,4,2,5,3,5,2,1,1,5,61
EMP100135,4.0,2025,Indra Wijaya Ridwan,738691,1,3,4,1,5,3,1,1,6,14
EMP100136,,2025,Maya Pradana,517117,3,2,2,2,2,1,1,1,6,76
EMP100137,2.0,2025,Rizky Jatmiko Hasibuan,553122,1,2,1,5,4,2,1,1,1,124
EMP100138,4.0,2025,Rani Zulfikar,432483,2,1,3,4,1,2,3,4,5,42
EMP100139,3.0,2025,Nadia Herlambang,982093,1,2,4,4,2,3,3,2,3,78
EMP100140,4.0,2025,Yuni Siregar,998756,4,2,6,3,2,1,1,4,6,54
EMP100141,4.0,2025,Fitri Utami,861763,4,3,6,2,1,3,3,3,1,67
EMP100142,4.0,2025,Indra Putra,749034,1,3,4,4,1,3,1,1,5,64
EMP100143,1.0,2025,Nadia Pramudita Wibowo,895607,1,3,2,5,3,3,2,2,3,22
EMP100144,2.0,2025,Bella Nabila Purnama,423266,2,2,4,2,1,3,2,2,6,20
EMP100145,1.0,2025,Novi Purnama,148545,3,1,5,1,4,1,1,4,5,41
EMP100146,,2025,Maya Wijaya,249743,2,4,5,5,1,2,1,1,5,35
EMP100147,3.0,2025,Hana Ridwan,335078,4,3,6,2,5,1,2,2,6,7
EMP100148,1.0,2025,Galih Zulfikar Hasibuan,703594,2,1,1,5,4,1,1,4,2,100
EMP100149,4.0,2025,Teguh Saputra Hasibuan,512914,4,2,4,5,2,3,1,4,3,60
EMP100150,,2025,Hadi Hasibuan,207057,3,3,1,5,1,1,3,3,6,69
EMP100151,2.0,2025,Wahyu Permadi,332971,4,1,3,6,5,3,1,4,1,42
EMP100152,4.0,2025,Satya Siregar,645559,3,4,2,2,5,3,3,2,5,59
EMP100153,2.0,2025,Arif Herlambang,692402,4,1,3,2,3,3,1,3,6,66
EMP100154,2.0,2025,Kurnia Maulida,876199,1,2,2,1,1,2,2,4,4,39
EMP100155,2.0,2025,Citra Jatmiko Siregar,846042,1,3,3,4,3,3,1,4,2,74
EMP100156,4.0,2025,Yoga Anugrah Lestari,302014,2,1,4,3,2,3,1,4,1,66
EMP100157,2.0,2025,Maya Zulfikar Purnama,229728,2,1,1,2,2,2,3,1,2,15
EMP100158,,2025,Lestari Syahputra,659507,3,1,4,3,5,1,3,2,6,20
EMP100159,,2025,Nabila Mahendra,773399,4,3,4,1,5,2,3,1,5,45
EMP100160,3.0,2025,Nugroho Rachman Salsabila,260531,4,1,1,6,1,2,2,4,4,83
EMP100161,1.0,2025,Wulan Saputra Pratama,937812,4,2,6,3,5,3,1,2,4,78
EMP100162,1.0,2025,Eko Adi Permadi,635327,3,2,5,5,3,1,2,4,5,38
EMP100163,3.0,2025,Oktavia Pramudita Sinaga,411227,2,4,2,6,2,3,1,3,2,74
EMP100164,3.0,2025,Wahyu Iqbal Pratomo,906701,4,4,2,3,5,2,1,2,5,81
EMP100165,4.0,2025,Kurnia Nugroho,272376,4,4,6,1,5,1,3,3,6,18
EMP100166,2.0,2025,Wahyu Yulianto,212302,2,3,4,4,3,3,1,3,3,34
EMP100167,3.0,2025,Eko Zulfikar,595197,3,2,4,2,5,3,1,3,2,84
EMP100168,1.0,2025,Wahyu Rachman Utami,459611,1,2,3,2,4,1,3,2,3,77
EMP100169,,2025,Intan Permadi,292727,2,4,4,3,3,2,2,2,6,55
EMP100170,3.0,2025,Dinda Wijaya Zulfikar,889308,4,4,1,4,1,3,1,1,5,103
EMP100171,2.0,2025,Nadia Yulianto,164530,1,1,2,3,5,3,3,3,2,44
EMP100172,4.0,2025,Dinda Ridwan,746866,3,4,6,3,2,1,3,3,6,15
EMP100173,3.0,2025,Ahmad Wijaya,181237,4,3,6,6,5,2,3,3,1,81
EMP100174,,2025,Ayunda Nabila Ramadhan,137718,3,4,5,4,3,2,2,3,5,74
EMP100175,3.0,2025,Budi Hasibuan,757262,1,2,2,5,4,1,1,4,6,28
EMP100176,3.0,2025,Fajar Firmansyah,952140,3,3,6,3,3,1,1,1,4,10
EMP100177,,2025,Rama Mahardika Wijaya,228799,2,1,5,6,4,1,3,3,4,19
EMP100178,4.0,2025,Nurlita Siregar,371453,3,3,4,1,2,3,1,2,3,56
EMP100179,3.0,2025,Andi Santoso,255408,2,1,5,4,5,2,3,3,3,41
EMP100180,3.0,2025,Evi Kurniawan,281925,2,1,1,1,1,2,1,4,4,44
EMP100181,3.0,2025,Dewi Mahardika Salsabila,564954,1,2,4,4,5,1,1,4,3,63
EMP100182,2.0,2025,Joko Kusuma Maulana,980488,3,3,4,4,5,3,1,2,6,49
EMP100183,3.0,2025,Valdo Herlambang,212000,1,1,2,4,5,2,3,4,6,16
EMP100184,2.0,2025,Rizka Pamungkas,270387,4,3,3,1,5,2,3,3,2,62
EMP100185,1.0,2025,Yuni Anugrah Subekti,360441,3,1,6,2,4,2,2,3,1,59
EMP100186,5.0,2025,Rizki Halim,489939,3,4,3,5,3,3,2,2,6,59
EMP100187,2.0,2025,Ayu Tamba,561710,2,4,6,6,5,2,1,2,1,39
EMP100188,4.0,2025,Novi Pramudita Syahputra,711579,3,3,1,1,4,3,3,3,1,7
EMP100189,2.0,2025,Andi Ganesha Hartanto,355817,3,3,1,3,2,2,3,4,6,78
EMP100190,4.0,2025,Kartika Santoso,820251,2,1,5,6,3,3,1,3,6,45
EMP100191,1.0,2025,Cahyo Wijaya,731090,3,1,5,1,4,1,1,2,4,61
EMP100192,,2025,Yoga Handayani,437723,3,1,5,2,5,3,2,3,6,86
EMP100193,3.0,2025,Kurnia Anugrah Kurniawan,263702,4,2,5,2,1,1,1,4,1,38
EMP100194,4.0,2025,Arif Hasibuan,345752,3,2,1,3,1,1,2,1,2,41
EMP100195,3.0,2025,Fitri Purnama,395742,3,3,3,6,1,1,2,4,3,29
EMP100196,3.0,2025,Kurnia Situmorang,229790,3,3,2,4,4,1,3,4,3,34
EMP100197,3.0,2025,Fitri Santoso,895048,1,4,4,5,4,1,3,1,3,15
EMP100198,,2025,Citra Baskara Suharto,693575,2,4,1,2,1,3,2,1,4,66
EMP100199,4.0,2025,Valdo Zulfikar Halim,571816,1,3,1,5,2,3,2,3,4,70
EMP100200,3.0,2025,Lestari Pratomo,560557,4,1,5,2,2,2,2,2,3,46
EMP100201,3.0,2025,Gita Ganesha Santoso,960157,4,2,1,5,4,3,3,2,5,29
EMP100202,3.0,2025,Rizky Anugrah Suharto,899344,3,3,4,3,2,1,1,1,3,26
EMP100203,3.0,2025,Teguh Kusuma Siregar,261676,1,3,1,5,3,2,1,1,4,46
EMP100204,3.0,2025,Utami Candra Ginting,744103,1,4,4,4,5,2,1,2,3,75
EMP100205,3.0,2025,Vania Adi Nugroho,360370,4,3,3,2,4,1,3,2,5,12
EMP100206,3.0,2025,Sari Pratomo,360509,1,4,4,6,1,2,3,1,3,38
EMP100207,,2025,Lestari Qolbi Setiawan,214779,1,2,1,1,4,3,2,1,3,54
EMP100208,,2025,Hadi Tri Maulida,256506,3,3,1,6,2,3,2,1,2,79
EMP100209,3.0,2025,Nugroho Pamungkas,244390,2,2,6,6,1,2,1,4,5,45
EMP100210,3.0,2025,Zaki Jatmiko Sinaga,141771,1,4,4,4,1,3,2,4,3,56
EMP100211,3.0,2025,Dian Tri Pratomo,642425,3,1,1,3,4,3,1,4,5,38
EMP100212,3.0,2025,Galih Kurniawan,286882,3,1,5,5,5,3,3,3,4,14
EMP100213,3.0,2025,Rizky Permadi,636241,4,2,4,6,2,2,3,3,1,59
EMP100214,2.0,2025,Oktavia Subekti,709787,1,1,5,4,4,2,3,2,1,16
EMP100215,2.0,2025,Valdo Wijaya,822227,2,2,1,1,3,1,1,3,4,97
EMP100216,3.0,2025,Sari Ananda,408721,4,1,5,6,5,1,2,4,4,10
EMP100217,1.0,2025,Luthfi Purnama,738931,2,3,1,5,4,3,1,1,2,35
EMP100218,3.0,2025,Ayu Lukman,945788,4,4,2,6,1,2,2,3,1,35
EMP100219,,2025,Julia Kusuma Santoso,398604,3,1,5,5,3,2,2,1,4,14
EMP100220,4.0,2025,Rizka Adi Setiawan,454642,2,2,6,6,3,3,1,4,5,63
EMP100221,2.0,2025,Dimas Qolbi Maulana,565432,4,4,2,3,3,3,1,1,1,3
EMP100222,1.0,2025,Luthfi Wijaya,476268,2,3,1,1,4,2,2,3,1,88
EMP100223,1.0,2025,Utami Mahardika Rohman,812910,4,3,2,3,4,3,3,4,3,2
EMP100224,4.0,2025,Rafa Maulida,414878,1,2,4,2,1,1,3,1,4,75
EMP100225,2.0,2025,Fajar Purnama,410679,3,1,6,3,1,1,3,3,2,48
EMP100226,3.0,2025,Nabila Simanjuntak,407321,2,1,4,3,1,1,1,2,4,11
EMP100227,,2025,Wulan Suharto,836120,2,4,1,6,4,3,2,2,4,61
EMP100228,2.0,2025,Satya Candra Handayani,827729,4,2,2,2,4,1,2,2,4,53
EMP100229,5.0,2025,Rizki Putra,636376,2,2,6,5,5,3,3,3,5,22
EMP100230,4.0,2025,Eko Indrawan,222544,4,4,1,2,1,3,2,2,4,91
EMP100231,5.0,2025,Satya Halim Hidayat,732788,3,4,1,3,5,1,2,2,3,17
EMP100232,4.0,2025,Zaki Ridwan,501019,1,1,1,4,4,3,3,3,2,65
EMP100233,4.0,2025,Utami Iqbal Gunawan,240856,2,4,6,5,4,3,2,4,6,66
EMP100234,,2025,Galih Jatmiko Maulana,213578,4,2,6,3,2,3,2,4,5,19
EMP100235,4.0,2025,Bayu Maulida,886319,4,3,6,6,2,1,2,3,2,36
EMP100236,4.0,2025,Teguh Santoso,274035,1,3,4,5,4,3,1,3,4,20
EMP100237,,2025,Sari Halim Siregar,225799,4,3,2,5,5,3,3,3,1,36
EMP100238,3.0,2025,Dewi Siregar,729851,1,3,1,4,3,1,1,3,1,98
EMP100239,,2025,Dimas Sinaga,307781,1,2,1,4,3,1,2,3,6,16
EMP100240,2.0,2025,Oktavia Hartanto,589164,1,3,1,2,5,3,1,3,1,19
EMP100241,4.0,2025,Sari Saputra Lukman,692319,4,2,6,4,2,1,2,1,6,81
EMP100242,3.0,2025,Rifqi Pamungkas,761064,4,1,2,5,2,2,2,2,3,52
EMP100243,4.0,2025,Sari Yudhistira Setiawan,828379,2,3,2,2,2,2,1,4,5,40
EMP100244,3.0,2025,Zaki Suharto,107836,1,2,3,3,4,1,2,3,4,85
EMP100245,3.0,2025,Budi Kurniawan,773435,2,1,3,4,1,2,2,2,4,79
EMP100246,4.0,2025,Rizky Subekti,415281,1,1,3,3,3,3,1,2,2,28
EMP100247,,2025,Hadi Ganesha Wijaya,546699,1,1,1,3,1,3,3,1,5,59
EMP100248,4.0,2025,Ahmad Erlangga Siregar,937306,2,3,1,5,1,2,2,3,4,7
EMP100249,4.0,2025,Evi Ridwan,878002,4,4,2,6,2,3,1,1,5,82
EMP100250,2.0,2025,Arif Mahardika Kusuma,284620,4,2,1,1,4,1,3,4,6,56
EMP100251,3.0,2025,Vania Halim Santoso,686738,1,3,3,3,5,3,2,2,5,25
EMP100252,3.0,2025,Wulan Adi Mahendra,178638,2,2,6,5,3,3,1,1,5,65
EMP100253,,2025,Putri Kusuma,728438,2,2,2,5,5,2,2,2,6,83
EMP100254,4.0,2025,Wulan Salsabila,372212,1,4,1,3,2,3,1,1,6,55
EMP100255,1.0,2025,Cahyo Anggara,299456,3,3,2,2,1,2,2,2,4,49
EMP100256,1.0,2025,Maya Dharma Pamungkas,372471,3,4,2,6,3,1,2,3,2,54
EMP100257,,2025,Zahra Aji Zulfikar,761892,2,1,3,4,1,2,3,4,6,85
EMP100258,4.0,2025,Fitri Adi Maulana,987651,1,3,4,5,3,1,1,1,1,4
EMP100259,4.0,2025,Gita Ridwan,873855,2,1,6,5,3,3,3,1,6,52
EMP100260,2.0,2025,Ahmad Pramudita Siregar,774643,4,4,2,5,1,2,2,1,4,88
EMP100261,3.0,2025,Valdo Gunawan,998529,1,1,1,5,5,3,1,2,1,42
EMP100262,4.0,2025,Iman Baskara Saputra,712560,1,2,4,2,4,1,2,3,1,55
EMP100263,,2025,Maya Handayani,335338,2,4,1,6,2,1,2,2,4,70
EMP100264,3.0,2025,Citra Utami,662357,2,1,1,5,5,3,2,3,3,95
EMP100265,2.0,2025,Citra Yulianto,688712,4,1,3,3,4,3,1,3,5,47
EMP100266,3.0,2025,Prasetyo Firmansyah,672031,2,1,6,2,5,1,3,1,4,49
EMP100267,2.0,2025,Nurlita Saputra Sinaga,872771,4,1,4,4,1,1,2,2,2,61
EMP100268,4.0,2025,Nadia Tri Fauziah,935756,1,3,5,2,2,1,1,1,3,73
EMP100269,4.0,2025,Zahra Pramudita Kusuma,772941,2,1,1,1,3,2,2,1,3,81
EMP100270,,2025,Rani Aji Setiawan,325137,2,1,5,3,2,1,2,2,4,53
EMP100271,3.0,2025,Rani Nugroho,504606,2,3,4,6,1,1,2,4,2,102
EMP100272,,2025,Yoga Qolbi Herlambang,509363,1,1,6,5,5,1,3,3,2,60
EMP100273,5.0,2025,Rani Wibowo,313299,4,1,1,4,3,2,2,2,3,48
EMP100274,3.0,2025,Nabila Anugrah Gunawan,489184,2,1,6,5,5,3,2,3,4,34
EMP100275,3.0,2025,Evi Maulana,622572,1,3,5,3,2,1,2,2,3,58
EMP100276,4.0,2025,Maya Fauziah,204779,3,2,2,4,4,1,1,1,1,47
EMP100277,3.0,2025,Nadia Handayani,161543,3,2,1,5,2,3,1,1,1,31
EMP100278,2.0,2025,Tania Qolbi Lukman,392035,2,3,2,6,3,3,1,1,2,57
EMP100279,1.0,2025,Julia Wibowo,344811,2,2,1,1,2,1,1,3,6,73
EMP100280,4.0,2025,Yuni Nabila Handayani,934524,3,2,4,2,2,3,3,1,6,72
EMP100281,4.0,2025,Bella Qolbi Ridwan,924171,3,3,5,5,1,3,2,1,6,29
EMP100282,4.0,2025,Indra Siregar,149631,4,4,4,1,4,2,3,2,4,35
EMP100283,,2025,Wahyu Anggara,567119,3,3,5,5,3,1,1,4,2,39
EMP100284,1.0,2025,Julia Maulana,793398,3,2,1,2,2,3,2,4,5,27
EMP100285,2.0,2025,Adi Mahardika Setiawan,651681,3,2,4,3,1,3,2,2,4,15
EMP100286,2.0,2025,Hana Wijaya Anggara,712677,4,1,3,2,4,3,3,2,3,24
EMP100287,,2025,Bella Mahendra,574973,1,4,2,5,5,3,1,3,1,18
EMP100288,2.0,2025,Budi Rachman Ramadhan,264342,4,2,5,3,3,2,2,3,3,54
EMP100289,4.0,2025,Teguh Hasibuan,306961,4,1,1,2,4,1,2,3,5,6
EMP100290,,2025,Ahmad Mahardika Firmansyah,971323,4,4,1,5,3,2,2,1,2,19
EMP100291,3.0,2025,Cahyo Pratomo,508086,3,2,1,2,4,1,1,1,5,20
EMP100292,2.0,2025,Wahyu Halim Zulfikar,883265,4,4,4,6,2,3,2,2,3,2
EMP100293,3.0,2025,Sari Fadillah Mahendra,992880,2,1,5,6,3,3,2,1,2,88
EMP100294,3.0,2025,Fitri Dharma Hidayat,354680,2,2,5,6,5,1,3,3,5,65
EMP100295,3.0,2025,Hadi Dharma Siregar,759978,3,3,5,3,5,3,1,2,3,33
