employee_id,fullname,rating,iq,gtq,growth_drive_and_resilience,curiosity_and_experimentation,insight_and_decision_sharpness,quality_delivery_discipline,synergy_and_team_orientation
EMP100151,Wahyu Permadi,2.0,123.0,15.0,2.0,2.0,1.0,2.0,2.0
EMP100152,Satya Siregar,4.0,93.0,22.0,,5.0,3.0,3.0,3.0
EMP100153,Arif Herlambang,2.0,,31.0,2.0,2.0,,1.0,2.0
EMP100154,Kurnia Maulida,2.0,117.0,26.0,2.0,2.0,2.0,1.0,3.0
EMP100155,Citra Jatmiko Siregar,2.0,,,2.0,3.0,2.0,2.0,1.0
EMP100156,Yoga Anugrah Lestari,4.0,80.0,29.0,3.0,5.0,,3.0,4.0
EMP100157,Maya Zulfikar Purnama,2.0,118.0,24.0,2.0,2.0,1.0,2.0,2.0
EMP100158,Lestari Syahputra,,137.0,23.0,5.0,5.0,5.0,5.0,5.0
EMP100159,Nabila Mahendra,,,29.0,3.0,2.0,,,
EMP100160,Nugroho Rachman Salsabila,3.0,133.0,25.0,2.0,3.0,4.0,4.0,4.0
EMP100161,Wulan Saputra Pratama,1.0,113.0,20.0,1.0,1.0,1.0,1.0,2.0
EMP100162,Eko Adi Permadi,1.0,138.0,22.0,1.0,2.0,1.0,1.0,1.0
EMP100163,Oktavia Pramudita Sinaga,3.0,137.0,28.0,1.0,1.0,1.0,1.0,1.0
EMP100164,Wahyu Iqbal Pratomo,3.0,,34.0,4.0,3.0,4.0,,3.0
EMP100165,Kurnia Nugroho,4.0,123.0,29.0,4.0,4.0,5.0,4.0,4.0
EMP100166,Wahyu Yulianto,2.0,,,3.0,2.0,1.0,,1.0
EMP100167,Eko Zulfikar,3.0,119.0,24.0,4.0,4.0,3.0,4.0,3.0
EMP100168,Wahyu Rachman Utami,1.0,114.0,34.0,2.0,1.0,1.0,,2.0
EMP100169,Intan Permadi,,101.0,20.0,2.0,2.0,1.0,1.0,2.0
EMP100170,Dinda Wijaya Zulfikar,3.0,,,3.0,,4.0,2.0,3.0
EMP100171,Nadia Yulianto,2.0,136.0,22.0,1.0,1.0,1.0,3.0,2.0
EMP100172,Dinda Ridwan,4.0,115.0,22.0,,3.0,4.0,4.0,4.0
EMP100173,Ahmad Wijaya,3.0,,27.0,2.0,3.0,3.0,2.0,3.0
EMP100174,Ayunda Nabila Ramadhan,,,,4.0,3.0,2.0,,3.0
EMP100175,Budi Hasibuan,3.0,133.0,25.0,3.0,3.0,3.0,3.0,3.0
EMP100176,Fajar Firmansyah,3.0,134.0,38.0,2.0,2.0,2.0,2.0,3.0
EMP100177,Rama Mahardika Wijaya,,86.0,28.0,4.0,5.0,4.0,4.0,4.0
EMP100178,Nurlita Siregar,4.0,106.0,27.0,3.0,4.0,4.0,5.0,4.0
EMP100179,Andi Santoso,3.0,,,3.0,4.0,3.0,3.0,3.0
EMP100180,Evi Kurniawan,3.0,101.0,42.0,4.0,4.0,3.0,3.0,3.0
EMP100181,Dewi Mahardika Salsabila,3.0,,,4.0,3.0,3.0,,4.0
EMP100182,Joko Kusuma Maulana,2.0,,,2.0,2.0,2.0,3.0,3.0
EMP100183,Valdo Herlambang,3.0,,,3.0,2.0,2.0,,3.0
EMP100184,Rizka Pamungkas,2.0,113.0,26.0,2.0,1.0,3.0,1.0,1.0
EMP100185,Yuni Anugrah Subekti,1.0,,28.0,0.0,2.0,,1.0,1.0
EMP100186,Rizki Halim,5.0,128.0,37.0,,4.0,5.0,5.0,5.0
EMP100187,Ayu Tamba,2.0,88.0,23.0,2.0,1.0,2.0,3.0,2.0
EMP100188,Novi Pramudita Syahputra,4.0,92.0,26.0,4.0,4.0,3.0,4.0,4.0
EMP100189,Andi Ganesha Hartanto,2.0,129.0,25.0,3.0,2.0,3.0,,3.0
EMP100190,Kartika Santoso,4.0,112.0,19.0,3.0,4.0,4.0,3.0,3.0
EMP100191,Cahyo Wijaya,1.0,138.0,18.0,1.0,1.0,1.0,1.0,1.0
EMP100192,Yoga Handayani,,111.0,34.0,3.0,4.0,3.0,3.0,
EMP100193,Kurnia Anugrah Kurniawan,3.0,134.0,30.0,4.0,3.0,,3.0,3.0
EMP100194,Arif Hasibuan,4.0,109.0,34.0,4.0,4.0,3.0,4.0,4.0
EMP100195,Fitri Purnama,3.0,124.0,31.0,3.0,,3.0,4.0,4.0
EMP100196,Kurnia Situmorang,3.0,,,3.0,2.0,3.0,3.0,4.0
EMP100197,Fitri Santoso,3.0,83.0,27.0,,3.0,3.0,3.0,3.0
EMP100198,Citra Baskara Suharto,,87.0,20.0,5.0,,4.0,4.0,5.0
EMP100199,Valdo Zulfikar Halim,4.0,97.0,24.0,4.0,3.0,4.0,4.0,3.0
EMP100200,Lestari Pratomo,3.0,102.0,25.0,2.0,4.0,3.0,3.0,3.0
EMP100201,Gita Ganesha Santoso,3.0,101.0,31.0,3.0,2.0,3.0,2.0,4.0
EMP100202,Rizky Anugrah Suharto,3.0,111.0,21.0,3.0,2.0,,3.0,3.0
EMP100203,Teguh Kusuma Siregar,3.0,92.0,29.0,3.0,3.0,3.0,4.0,4.0
EMP100204,Utami Candra Ginting,3.0,,,,4.0,2.0,3.0,2.0
EMP100205,Vania Adi Nugroho,3.0,139.0,28.0,3.0,3.0,2.0,,3.0
EMP100206,Sari Pratomo,3.0,115.0,33.0,2.0,4.0,4.0,2.0,
EMP100207,Lestari Qolbi Setiawan,,91.0,26.0,1.0,1.0,,,1.0
EMP100208,Hadi Tri Maulida,,89.0,33.0,5.0,5.0,5.0,5.0,5.0
EMP100209,Nugroho Pamungkas,3.0,126.0,21.0,3.0,4.0,2.0,3.0,2.0
EMP100210,Zaki Jatmiko Sinaga,3.0,,,4.0,3.0,4.0,3.0,3.0
EMP100211,Dian Tri Pratomo,3.0,135.0,30.0,4.0,4.0,4.0,4.0,2.0
EMP100212,Galih Kurniawan,3.0,92.0,31.0,3.0,3.0,3.0,4.0,3.0
EMP100213,Rizky Permadi,3.0,94.0,32.0,2.0,4.0,3.0,4.0,2.0
EMP100214,Oktavia Subekti,2.0,,,2.0,2.0,1.0,1.0,1.0
EMP100215,Valdo Wijaya,2.0,105.0,20.0,3.0,1.0,2.0,3.0,3.0
EMP100216,Sari Ananda,3.0,111.0,25.0,3.0,3.0,3.0,4.0,3.0
EMP100217,Luthfi Purnama,1.0,,32.0,2.0,,1.0,2.0,2.0
EMP100218,Ayu Lukman,3.0,95.0,27.0,3.0,2.0,3.0,,3.0
EMP100219,Julia Kusuma Santoso,,106.0,39.0,4.0,3.0,4.0,4.0,4.0
EMP100220,Rizka Adi Setiawan,4.0,84.0,18.0,5.0,5.0,4.0,5.0,4.0
EMP100221,Dimas Qolbi Maulana,2.0,119.0,33.0,3.0,,2.0,2.0,2.0
EMP100222,Luthfi Wijaya,1.0,88.0,28.0,1.0,2.0,1.0,,2.0
EMP100223,Utami Mahardika Rohman,1.0,96.0,23.0,1.0,1.0,1.0,1.0,1.0
EMP100224,Rafa Maulida,4.0,114.0,22.0,4.0,4.0,4.0,3.0,4.0
EMP100225,Fajar Purnama,2.0,123.0,31.0,2.0,1.0,2.0,3.0,
EMP100226,Nabila Simanjuntak,3.0,124.0,30.0,3.0,3.0,3.0,3.0,2.0
EMP100227,Wulan Suharto,,102.0,24.0,3.0,3.0,3.0,3.0,
EMP100228,Satya Candra Handayani,2.0,116.0,29.0,2.0,1.0,1.0,1.0,3.0
EMP100229,Rizki Putra,5.0,103.0,12.0,,5.0,5.0,5.0,5.0
EMP100230,Eko Indrawan,4.0,90.0,18.0,5.0,4.0,4.0,4.0,4.0
EMP100231,Satya Halim Hidayat,5.0,139.0,23.0,5.0,4.0,5.0,5.0,4.0
EMP100232,Zaki Ridwan,4.0,,,5.0,4.0,4.0,3.0,
EMP100233,Utami Iqbal Gunawan,4.0,125.0,31.0,4.0,4.0,3.0,4.0,3.0
EMP100234,Galih Jatmiko Maulana,,117.0,31.0,4.0,5.0,4.0,4.0,5.0
EMP100235,Bayu Maulida,4.0,88.0,24.0,4.0,,4.0,4.0,
EMP100236,Teguh Santoso,4.0,116.0,31.0,4.0,5.0,4.0,4.0,3.0
EMP100237,Sari Halim Siregar,,140.0,34.0,4.0,4.0,4.0,4.0,4.0
EMP100238,Dewi Siregar,3.0,,,2.0,3.0,2.0,4.0,3.0
EMP100239,Dimas Sinaga,,,,2.0,3.0,4.0,4.0,3.0
EMP100240,Oktavia Hartanto,2.0,84.0,28.0,2.0,2.0,1.0,3.0,2.0
EMP100241,Sari Saputra Lukman,4.0,,,4.0,4.0,,3.0,4.0
EMP100242,Rifqi Pamungkas,3.0,93.0,24.0,3.0,3.0,3.0,4.0,3.0
EMP100243,Sari Yudhistira Setiawan,4.0,116.0,34.0,3.0,5.0,3.0,5.0,5.0
EMP100244,Zaki Suharto,3.0,128.0,36.0,3.0,3.0,2.0,4.0,
EMP100245,Budi Kurniawan,3.0,,,,2.0,3.0,3.0,
EMP100246,Rizky Subekti,4.0,82.0,24.0,4.0,4.0,3.0,4.0,4.0
EMP100247,Hadi Ganesha Wijaya,,85.0,21.0,4.0,2.0,2.0,3.0,4.0
EMP100248,Ahmad Erlangga Siregar,4.0,102.0,34.0,4.0,4.0,3.0,4.0,4.0
EMP100249,Evi Ridwan,4.0,86.0,29.0,4.0,4.0,3.0,4.0,4.0
EMP100250,Arif Mahardika Kusuma,2.0,89.0,28.0,2.0,1.0,2.0,,2.0
EMP100251,Vania Halim Santoso,3.0,121.0,25.0,3.0,2.0,3.0,4.0,3.0
EMP100252,Wulan Adi Mahendra,3.0,105.0,25.0,4.0,4.0,3.0,3.0,3.0
EMP100253,Putri Kusuma,,91.0,23.0,2.0,4.0,3.0,3.0,3.0
EMP100254,Wulan Salsabila,4.0,84.0,13.0,5.0,4.0,4.0,,5.0
EMP100255,Cahyo Anggara,1.0,121.0,25.0,1.0,1.0,2.0,1.0,2.0
EMP100256,Maya Dharma Pamungkas,1.0,80.0,38.0,1.0,1.0,1.0,1.0,1.0
EMP100257,Zahra Aji Zulfikar,,,,1.0,2.0,1.0,2.0,1.0
EMP100258,Fitri Adi Maulana,4.0,121.0,29.0,5.0,3.0,4.0,5.0,4.0
EMP100259,Gita Ridwan,4.0,88.0,34.0,5.0,4.0,4.0,4.0,4.0
EMP100260,Ahmad Pramudita Siregar,2.0,87.0,14.0,2.0,2.0,2.0,2.0,3.0
EMP100261,Valdo Gunawan,3.0,138.0,18.0,,3.0,2.0,2.0,
EMP100262,Iman Baskara Saputra,4.0,136.0,19.0,4.0,4.0,4.0,5.0,3.0
EMP100263,Maya Handayani,,123.0,24.0,4.0,,3.0,4.0,5.0
EMP100264,Citra Utami,3.0,91.0,19.0,4.0,,3.0,3.0,3.0
EMP100265,Citra Yulianto,2.0,91.0,29.0,2.0,2.0,2.0,2.0,2.0
EMP100266,Prasetyo Firmansyah,3.0,98.0,33.0,4.0,2.0,3.0,3.0,2.0
EMP100267,Nurlita Saputra Sinaga,2.0,,,3.0,,6.0,2.0,2.0
EMP100268,Nadia Tri Fauziah,4.0,94.0,33.0,,4.0,4.0,4.0,5.0
EMP100269,Zahra Pramudita Kusuma,4.0,84.0,25.0,4.0,5.0,3.0,3.0,3.0
EMP100270,Rani Aji Setiawan,,85.0,22.0,1.0,1.0,2.0,3.0,
EMP100271,Rani Nugroho,3.0,92.0,21.0,4.0,3.0,3.0,,3.0
EMP100272,Yoga Qolbi Herlambang,,,24.0,3.0,2.0,3.0,3.0,3.0
EMP100273,Rani Wibowo,5.0,,,5.0,,5.0,4.0,5.0
EMP100274,Nabila Anugrah Gunawan,3.0,94.0,40.0,4.0,,4.0,3.0,4.0
EMP100275,Evi Maulana,3.0,125.0,26.0,3.0,4.0,,4.0,3.0
EMP100276,Maya Fauziah,4.0,,,4.0,4.0,3.0,4.0,3.0
EMP100277,Nadia Handayani,3.0,119.0,36.0,3.0,2.0,2.0,3.0,2.0
EMP100278,Tania Qolbi Lukman,2.0,,28.0,3.0,2.0,3.0,1.0,3.0
EMP100279,Julia Wibowo,1.0,106.0,30.0,1.0,1.0,1.0,1.0,1.0
EMP100280,Yuni Nabila Handayani,4.0,119.0,13.0,3.0,1.0,2.0,2.0,2.0
EMP100281,Bella Qolbi Ridwan,4.0,93.0,27.0,4.0,4.0,3.0,4.0,4.0
EMP100282,Indra Siregar,4.0,126.0,37.0,,4.0,4.0,3.0,4.0
EMP100283,Wahyu Anggara,,139.0,33.0,3.0,2.0,3.0,2.0,2.0
EMP100284,Julia Maulana,1.0,98.0,22.0,1.0,1.0,2.0,1.0,1.0
EMP100285,Adi Mahardika Setiawan,2.0,140.0,27.0,2.0,2.0,2.0,2.0,1.0
EMP100286,Hana Wijaya Anggara,2.0,96.0,25.0,2.0,3.0,2.0,3.0,2.0
EMP100287,Bella Mahendra,,104.0,37.0,3.0,3.0,3.0,2.0,3.0
