employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,papi_score
EMP100006,Indra Santoso,826406,1,3,3,2,1,2,1,1,4,82,94,24,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6,5.529411764705882
EMP100007,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4,5.052631578947368
EMP100008,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1,5.055555555555555
EMP100009,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4,4.842105263157895
EMP100010,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2,4.941176470588236
EMP100011,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10,5.0588235294117645
EMP100012,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10,4.105263157894737
EMP100013,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9,4.777777777777778
EMP100014,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7,5.6875
EMP100015,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28,65,77,DC,Dominant-Conscientious,ENFP,,,7,5.222222222222222
EMP100016,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5,4.777777777777778
EMP100017,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1,3.8947368421052633
EMP100018,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53,66,69,SC,Steadiness-Conscientious,ESFJ,,28.0,3,5.684210526315789
EMP100019,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10,4.894736842105263
EMP100020,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1,4.666666666666667
EMP100021,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81,22,34,CS,Conscientious-Steadiness,INFP,,,2,4.2105263157894735
EMP100022,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53,49,94,,Influencer-Conscientious,ISTP,91.0,35.0,8,5.0
EMP100023,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5,4.2631578947368425
EMP100024,Rendra Candra Maulida,884289,2,1,5,3,2,2,2,3,4,44,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5,4.55
EMP100025,Rizky Dharma Purnama,786831,1,3,1,2,5,3,3,2,2,20,53,71,CS,Conscientious-Steadiness,ESTJ,,34.0,8,5.5
EMP100026,Wulan Yudhistira Tamba,926498,4,1,4,2,5,2,2,4,3,65,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4,5.473684210526316
EMP100027,Oka Rohman,176075,3,3,2,1,5,1,3,3,2,132,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9,4.833333333333333
EMP100028,Nadia Saputra,373327,3,1,3,3,4,1,2,4,5,22,95,71,SI,Steadiness-Influencer,INFP,107.0,20.0,3,4.526315789473684
EMP100029,Satya Adi Hasibuan,491714,3,3,5,6,5,1,1,1,5,32,93,85,DC,Dominant-Conscientious,INTP,105.0,29.0,10,3.9375
EMP100030,Rizky Anugrah Permadi,276288,3,1,5,3,4,2,3,3,4,56,46,100,DS,Dominant-Steadiness,ESTJ,110.0,22.0,4,4.95
EMP100031,Julia Nabila Kurniawan,379652,4,4,3,2,4,3,2,4,2,34,34,93,CD,Conscientious-Dominant,INTJ,103.0,35.0,3,4.0
EMP100032,Galih Mahardika Purnama,980623,2,1,3,6,3,3,1,4,2,34,29,85,DS,Dominant-Steadiness,ENTJ,,36.0,7,5.105263157894737
EMP100033,Ahmad Simanjuntak,846300,2,2,5,3,1,3,2,4,3,37,53,83,ID,Influencer-Dominant,ENFP,117.0,23.0,6,4.166666666666667
EMP100034,Ari Adi Ginting,510070,1,4,6,5,5,2,1,4,1,86,34,35,DS,Dominant-Steadiness,ENFP,116.0,35.0,5,4.388888888888889
EMP100035,Oka Tamba,243414,3,4,1,5,4,3,3,2,4,57,84,36,DI,Dominant-Influencer,,103.0,28.0,7,4.222222222222222
EMP100036,Ayunda Utama Lestari,515963,2,1,1,6,4,3,3,2,3,54,96,81,CD,Conscientious-Dominant,ESFJ,120.0,28.0,3,5.625
EMP100037,Nabila Ramadhan,967856,1,1,6,4,2,1,2,2,6,52,45,41,,Conscientious-Influencer,ISTJ,,,1,4.95
EMP100038,Bella Tri Setiawan,446315,3,3,6,5,3,2,3,4,2,50,28,51,IC,Influencer-Conscientious,ESFP,93.0,36.0,2,4.842105263157895
EMP100039,Budi Adi Permadi,476249,2,2,4,3,2,2,1,3,4,65,51,52,SI,Steadiness-Influencer,ISFP,125.0,41.0,9,5.2631578947368425
EMP100040,Rifqi Putra,751135,3,1,4,2,2,3,2,4,2,81,55,36,ID,Influencer-Dominant,ESTP,112.0,24.0,10,4.166666666666667
EMP100041,Lestari Maulana,135400,4,2,3,6,2,1,1,2,4,99,53,32,IS,Influencer-Steadiness,ISTJ,86.0,25.0,7,4.529411764705882
EMP100042,Oka Lukman,191210,3,3,6,2,4,2,1,4,3,28,63,43,CD,Conscientious-Dominant,ENFP,139.0,25.0,1,5.0
EMP100043,Nugroho Indrawan,123837,2,2,3,4,2,2,1,1,3,40,41,97,SD,Steadiness-Dominant,ESFJ,,,9,4.833333333333333
EMP100044,Indra Maulida,742065,4,4,5,3,1,2,1,2,6,8,74,44,ID,Influencer-Dominant,ESFP,82.0,41.0,5,4.7368421052631575
EMP100045,Dimas Mahendra,581488,2,3,2,3,4,1,3,1,5,38,99,71,DS,Dominant-Steadiness,ISTJ,111.0,23.0,1,5.555555555555555
EMP100046,Fitri Lestari,117913,3,4,1,4,3,1,2,2,6,64,67,91,,Dominant-Conscientious,ISTJ,,,6,4.684210526315789
EMP100047,Hadi Pradana,161695,3,2,2,2,5,1,1,3,5,58,61,55,ID,Influencer-Dominant,ISTJ,110.0,22.0,1,5.166666666666667
EMP100048,Adit Halim,557326,3,4,4,5,4,3,1,4,6,50,37,32,SI,Steadiness-Influencer,ESFJ,125.0,36.0,1,4.052631578947368
EMP100049,Rizki Halim Siregar,453636,1,4,5,1,1,1,3,4,6,35,94,30,DC,Dominant-Conscientious,INTP,133.0,27.0,5,4.368421052631579
EMP100050,Joko Ridwan,411437,4,3,4,3,5,3,1,2,2,69,81,54,DC,Dominant-Conscientious,,131.0,32.0,6,4.7368421052631575
EMP100051,Ari Mahardika Nugroho,286318,4,4,5,1,4,3,1,3,5,98,94,61,CS,Conscientious-Steadiness,INFP,110.0,36.0,7,4.052631578947368
EMP100052,Sari Yudhistira Mahendra,740192,1,4,4,2,1,2,3,3,3,23,69,55,IC,Influencer-Conscientious,ISTJ,126.0,36.0,10,5.2105263157894735
EMP100053,Anisa Pamungkas,770602,1,3,1,3,3,1,3,3,5,52,97,71,IS,Influencer-Steadiness,ISFJ,140.0,23.0,5,4.526315789473684
EMP100054,Nugroho Maulida,239182,2,4,4,3,5,1,1,2,3,22,23,42,SI,Steadiness-Influencer,ISTJ,88.0,36.0,8,5.0
EMP100055,Putri Nugroho,153339,1,2,6,1,4,1,2,4,5,42,50,80,DS,Dominant-Steadiness,INFJ,124.0,26.0,9,5.65
EMP100056,Ayunda Ramadhan,401856,4,4,1,4,3,2,1,3,3,96,44,20,CI,Conscientious-Influencer,INTJ,,,5,4.666666666666667
EMP100057,Nurlita Kusuma,285929,3,2,6,2,4,3,3,1,4,60,39,27,IS,Influencer-Steadiness,ENTP,123.0,35.0,9,5.105263157894737
EMP100058,Adit Anugrah Halim,827158,3,3,2,4,1,2,3,2,4,66,60,96,CS,Conscientious-Steadiness,INTJ,,,8,5.0
EMP100059,Fajar Dharma Subekti,404880,2,3,3,2,4,1,3,4,6,75,64,77,SI,Steadiness-Influencer,,92.0,13.0,9,4.421052631578948
EMP100060,Wulan Maulida,302930,1,4,3,4,1,3,2,2,2,44,46,96,CS,Conscientious-Steadiness,ENTP,,,7,5.555555555555555
EMP100061,Oktavia Anugrah Setiawan,275683,4,3,6,4,1,1,3,1,5,46,92,22,IC,Influencer-Conscientious,ENTP,,,6,5.631578947368421
EMP100062,Valdo Jatmiko Mahendra,249908,3,3,4,6,3,2,2,3,2,40,42,25,,Dominant-Influencer,ISTP,89.0,31.0,8,5.611111111111111
EMP100063,Ayu Lestari Pradana,461165,2,1,1,4,2,1,1,3,5,42,45,96,SC,Steadiness-Conscientious,ESFP,,,8,4.45
EMP100064,Kurnia Purnama,551120,1,2,6,5,4,3,3,1,6,38,55,27,IS,Influencer-Steadiness,ESTP,96.0,26.0,4,5.0
EMP100065,Rani Saputra,240200,1,4,1,1,4,2,2,1,4,24,22,29,CS,Conscientious-Steadiness,ISFP,90.0,34.0,10,5.0588235294117645
EMP100066,Tania Lestari Setiawan,378824,1,4,3,1,2,1,1,1,1,65,54,64,CD,Conscientious-Dominant,ENTJ,84.0,28.0,10,5.055555555555555
EMP100067,Indra Zulfikar,696462,1,3,3,1,2,1,3,1,1,89,40,38,SD,Steadiness-Dominant,INTJ,101.0,20.0,6,6.352941176470588
EMP100068,Nabila Qolbi Suharto,671201,4,1,3,2,5,2,1,4,1,68,34,60,DI,Dominant-Influencer,INTP,,16.0,5,4.368421052631579
EMP100069,Anisa Permadi,252350,1,3,4,2,4,3,1,2,2,61,36,41,IC,Influencer-Conscientious,INFJ,93.0,36.0,10,5.85
EMP100070,Kartika Rachman Ramadhan,855424,3,4,6,2,4,3,1,1,5,47,74,38,DC,Dominant-Conscientious,ENFJ,137.0,36.0,2,4.95
EMP100071,Rafa Situmorang,871247,2,3,4,3,4,3,1,2,4,72,38,52,DC,Dominant-Conscientious,ENTP,107.0,35.0,7,4.894736842105263
EMP100072,Nugroho Hartanto,161630,2,1,3,5,3,1,1,3,6,45,92,40,CI,Conscientious-Influencer,INFP,87.0,32.0,4,4.944444444444445
EMP100073,Dimas Halim Ananda,972245,2,3,3,3,5,1,3,3,1,85,42,31,IC,Influencer-Conscientious,ESTJ,104.0,35.0,9,5.555555555555555
EMP100074,Ari Utama Putra,100945,4,1,2,1,3,2,3,1,3,32,52,76,CI,Conscientious-Influencer,INTJ,131.0,25.0,4,4.25
EMP100075,Rizki Halim Zulfikar,290052,3,1,5,4,5,3,1,4,4,24,31,78,ID,Influencer-Dominant,INTP,,,2,5.368421052631579
EMP100076,Rizki Wijaya,458782,1,3,6,5,4,2,1,3,1,4,90,52,IS,Influencer-Steadiness,ESFP,80.0,34.0,4,4.529411764705882
EMP100077,Novi Setiawan,115692,3,4,3,3,1,3,1,3,5,35,79,57,CD,Conscientious-Dominant,ENFJ,135.0,32.0,1,4.7368421052631575
EMP100078,Indra Anggara,811320,1,1,6,3,1,3,3,4,1,39,99,46,SI,Steadiness-Influencer,ISTP,84.0,19.0,8,5.105263157894737
EMP100079,Novi Hasibuan,298849,4,4,3,3,4,1,1,1,5,67,22,38,DS,Dominant-Steadiness,ISTJ,122.0,23.0,5,4.684210526315789
EMP100080,Andi Mahardika Handayani,274945,2,1,2,3,3,3,2,4,2,43,55,29,DC,Dominant-Conscientious,ENFJ,87.0,36.0,8,4.473684210526316
EMP100081,Ari Yulianto,447230,1,4,6,1,3,3,3,3,3,85,49,31,CS,Conscientious-Steadiness,ENFP,138.0,23.0,7,3.789473684210526
EMP100082,Budi Dharma Lukman,247239,3,4,1,3,2,3,3,4,1,63,94,39,,Conscientious-Steadiness,INTP,133.0,27.0,6,3.5
EMP100083,Rizka Erlangga Subekti,286153,1,3,6,6,1,3,2,4,1,19,50,81,CD,Conscientious-Dominant,ENTJ,99.0,30.0,2,5.529411764705882
EMP100084,Dian Rachman Handayani,735572,1,3,6,2,1,3,2,1,2,16,56,48,SD,Steadiness-Dominant,,118.0,36.0,5,5.368421052631579
EMP100085,Ahmad Rohman,540638,2,4,2,3,4,2,3,2,1,22,86,61,,Conscientious-Steadiness,ENTJ,,26.0,8,4.25
EMP100086,Rani Syahputra,503804,3,3,4,6,5,1,3,3,3,23,79,76,IC,Influencer-Conscientious,ISTJ,110.0,36.0,3,4.578947368421052
EMP100087,Rizka Ananda,649357,2,1,1,6,2,2,3,3,3,12,36,63,DS,Dominant-Steadiness,ENFP,109.0,25.0,2,6.2631578947368425
EMP100088,Nadia Saputra Mahendra,192144,2,4,3,2,4,1,1,3,6,38,29,88,CS,Conscientious-Steadiness,ISFP,83.0,29.0,5,5.35
EMP100089,Umar Simanjuntak,179520,1,2,5,4,3,3,3,2,4,56,97,26,CD,Conscientious-Dominant,,,,10,5.5
EMP100090,Maya Pratomo,304860,2,4,6,5,4,2,2,2,5,27,48,96,DS,Dominant-Steadiness,ESTJ,,29.0,1,4.578947368421052
EMP100091,Oka Candra Firmansyah,109937,4,1,3,3,1,1,2,3,1,10,36,83,DS,Dominant-Steadiness,ENFP,102.0,23.0,6,4.315789473684211
EMP100092,Ahmad Indrawan,810984,2,1,2,4,1,3,3,2,2,68,43,51,IC,Influencer-Conscientious,ENTJ,,,1,4.722222222222222
EMP100093,Nadia Lestari Utami,218189,1,1,2,5,3,3,2,2,6,57,71,31,CS,Conscientious-Steadiness,ENTP,93.0,24.0,3,5.421052631578948
EMP100094,Nadia Utama Yulianto,838236,4,1,1,3,3,3,1,2,4,33,24,50,SD,Steadiness-Dominant,INFJ,95.0,16.0,6,5.315789473684211
EMP100095,Fitri Pamungkas,186709,2,4,3,4,5,2,2,3,5,41,66,40,SC,Steadiness-Conscientious,ISFJ,,,5,5.157894736842105
EMP100096,Rama Dharma Wibowo,349891,4,3,2,6,2,1,2,3,4,77,42,78,SI,Steadiness-Influencer,ENTJ,,20.0,7,4.7368421052631575
EMP100097,Valdo Subekti,922054,1,1,6,2,1,3,1,2,3,64,44,76,DC,Dominant-Conscientious,INFJ,,32.0,2,5.2631578947368425
EMP100098,Indra Hidayat,843650,3,4,3,3,1,1,3,2,1,57,37,32,ID,Influencer-Dominant,ENTJ,128.0,17.0,9,5.444444444444445
EMP100099,Tania Suharto,635643,3,4,4,4,2,2,1,2,6,46,52,80,SC,Steadiness-Conscientious,ESTJ,,,7,4.928571428571429
EMP100100,Intan Rachman Suharto,198295,4,4,1,4,1,1,2,1,2,55,44,56,DC,Dominant-Conscientious,,,,6,4.421052631578948
EMP100101,Yoga Pratomo,264764,3,1,4,1,1,2,3,4,5,51,35,97,IC,Influencer-Conscientious,ESTJ,81.0,26.0,2,4.6875
EMP100102,Dinda Permadi,342888,1,2,3,6,1,3,1,3,3,22,47,89,SI,Steadiness-Influencer,INTJ,111.0,19.0,5,5.222222222222222
EMP100103,Ayu Ginting,310700,4,1,2,3,1,3,2,1,1,32,62,73,,Influencer-Steadiness,ESTJ,105.0,26.0,2,5.111111111111111
EMP100104,Budi Pratama,642860,4,4,4,3,3,2,1,4,6,81,80,37,DC,Dominant-Conscientious,ISTP,102.0,23.0,9,5.473684210526316
EMP100105,Maya Yulianto,653381,2,1,1,4,4,2,1,4,1,16,50,45,SC,Steadiness-Conscientious,ENFJ,,,7,5.777777777777778
EMP100106,Valdo Wijaya Wijaya,335938,3,3,1,6,5,3,3,4,1,64,72,49,CD,Conscientious-Dominant,ENFJ,102.0,29.0,4,4.75
EMP100107,Dian Fauziah,273235,4,2,4,5,3,1,2,4,4,45,28,59,CI,Conscientious-Influencer,ISFP,104.0,41.0,9,5.2631578947368425
EMP100108,Dinda Erlangga Handayani,455098,4,2,3,3,5,3,2,2,6,58,73,70,DC,Dominant-Conscientious,ISTP,129.0,27.0,5,5.8
EMP100109,Dinda Wibowo,127614,3,1,2,3,4,3,3,4,4,55,90,96,DC,Dominant-Conscientious,ESFP,91.0,16.0,4,5.555555555555555
EMP100110,Citra Hartanto,528735,3,2,5,3,5,2,3,3,4,46,36,63,SD,Steadiness-Dominant,INFP,97.0,37.0,5,4.777777777777778
EMP100111,Rendra Herlambang,510681,2,2,3,6,4,1,3,3,5,44,38,99,ID,Influencer-Dominant,ENFJ,83.0,22.0,8,4.947368421052632
EMP100112,Adit Mahardika Pratama,874330,4,4,3,1,4,3,1,1,3,36,88,83,,Dominant-Conscientious,ENTP,132.0,25.0,7,4.473684210526316
EMP100113,Iman Rachman Rahmawati,313238,1,4,1,6,3,1,2,1,5,55,57,72,ID,Influencer-Dominant,INTJ,117.0,28.0,10,5.176470588235294
EMP100114,Vania Fadillah Fauziah,475116,2,2,4,4,5,2,2,4,2,15,33,29,DI,Dominant-Influencer,INFJ,,,7,5.411764705882353
EMP100115,Satya Yudhistira Lukman,804211,2,1,1,2,4,2,1,3,4,41,21,62,IS,Influencer-Steadiness,ENFJ,90.0,23.0,7,5.222222222222222
EMP100116,Bayu Ridwan,747077,2,2,6,4,3,2,3,2,5,50,89,40,SI,Steadiness-Influencer,ISFP,,,7,5.105263157894737
EMP100117,Prasetyo Gunawan,362939,4,4,4,6,2,2,2,2,6,39,40,98,,Dominant-Influencer,INFJ,86.0,25.0,5,4.777777777777778
EMP100118,Julia Pramudita Hartanto,244488,4,4,4,2,5,3,3,2,4,53,67,31,IC,Influencer-Conscientious,ISTJ,,32.0,2,5.35
EMP100119,Iman Ginting,562438,2,2,6,1,3,1,2,2,3,1,96,35,SI,Steadiness-Influencer,INTJ,102.0,29.0,1,4.705882352941177
EMP100120,Iman Maulida,949849,4,2,2,1,2,1,2,1,3,52,53,45,SC,Steadiness-Conscientious,,127.0,29.0,8,4.941176470588236
EMP100121,Bayu Hidayat,174665,1,3,4,3,2,3,1,2,4,56,95,85,,Steadiness-Dominant,INFJ,84.0,21.0,10,4.611111111111111
EMP100122,Rizki Simanjuntak,580039,2,3,6,4,1,3,3,2,2,10,27,63,CS,Conscientious-Steadiness,ESTP,,,2,5.526315789473684
EMP100123,Kurnia Jatmiko Permadi,557929,2,1,5,2,1,1,2,4,2,54,40,42,CD,Conscientious-Dominant,ESTJ,107.0,27.0,8,4.3
EMP100124,Maya Nabila Salsabila,614276,2,4,2,4,5,2,1,1,2,52,38,84,DC,Dominant-Conscientious,ESFP,,,8,5.375
EMP100125,Nabila Lestari Santoso,500320,2,4,5,1,3,2,3,1,1,45,28,72,DC,Dominant-Conscientious,ENTP,,30.0,6,5.444444444444445
EMP100126,Vania Siregar,549217,3,4,5,5,1,3,3,3,3,67,86,53,DS,Dominant-Steadiness,ISFP,120.0,24.0,1,5.166666666666667
EMP100127,Lestari Gunawan,809952,1,3,6,4,1,1,3,3,6,26,20,65,CI,Conscientious-Influencer,,,,1,5.05
EMP100128,Ahmad Siregar,282135,1,1,4,6,4,2,2,2,3,58,70,69,DC,Dominant-Conscientious,ESTP,117.0,38.0,3,5.526315789473684
EMP100129,Dian Utama Kusuma,445242,4,4,2,1,1,1,2,3,2,17,64,40,CS,Conscientious-Steadiness,ENTP,109.0,28.0,3,4.352941176470588
EMP100130,Citra Rahmawati,328046,2,3,1,1,2,3,1,4,3,68,39,80,CD,Conscientious-Dominant,INTP,84.0,24.0,9,5.157894736842105
EMP100131,Ayunda Adi Hartanto,190746,1,1,4,5,4,1,3,3,3,58,51,47,DS,Dominant-Steadiness,ESTP,102.0,24.0,2,4.9
EMP100132,Maya Ramadhan,378744,1,2,2,5,4,2,3,2,6,46,66,59,SI,Steadiness-Influencer,ISFP,118.0,33.0,8,5.315789473684211
EMP100133,Rendra Handayani,851667,2,2,4,2,1,3,1,3,1,30,44,89,CI,Conscientious-Influencer,ENTP,104.0,39.0,4,4.722222222222222
EMP100134,Rifqi Wijaya,526403,4,2,5,3,5,2,1,1,5,61,33,89,CS,Conscientious-Steadiness,INTJ,119.0,22.0,6,5.05
EMP100135,Indra Wijaya Ridwan,738691,1,3,4,1,5,3,1,1,6,14,87,64,,Conscientious-Influencer,INFP,113.0,27.0,7,4.578947368421052
EMP100136,Maya Pradana,517117,3,2,2,2,2,1,1,1,6,76,45,53,ID,Influencer-Dominant,ESFJ,131.0,26.0,10,5.0
EMP100137,Rizky Jatmiko Hasibuan,553122,1,2,1,5,4,2,1,1,1,124,73,32,DC,Dominant-Conscientious,ESFJ,125.0,16.0,10,5.333333333333333
EMP100138,Rani Zulfikar,432483,2,1,3,4,1,2,3,4,5,42,29,27,IC,Influencer-Conscientious,ISFJ,,,9,4.157894736842105
EMP100139,Nadia Herlambang,982093,1,2,4,4,2,3,3,2,3,78,47,90,IC,Influencer-Conscientious,ENTP,,,8,4.470588235294118
EMP100140,Yuni Siregar,998756,4,2,6,3,2,1,1,4,6,54,92,73,DI,Dominant-Influencer,ISFP,,33.0,1,3.684210526315789
EMP100141,Fitri Utami,861763,4,3,6,2,1,3,3,3,1,67,91,28,DC,Dominant-Conscientious,ENFJ,124.0,29.0,8,4.2
EMP100142,Indra Putra,749034,1,3,4,4,1,3,1,1,5,64,98,64,ID,Influencer-Dominant,ESTP,,,1,4.85
EMP100143,Nadia Pramudita Wibowo,895607,1,3,2,5,3,3,2,2,3,22,38,93,IS,Influencer-Steadiness,ESFP,122.0,21.0,3,5.473684210526316
EMP100144,Bella Nabila Purnama,423266,2,2,4,2,1,3,2,2,6,20,60,58,CI,Conscientious-Influencer,ENFP,,23.0,8,6.117647058823529
EMP100145,Novi Purnama,148545,3,1,5,1,4,1,1,4,5,41,51,100,SC,Steadiness-Conscientious,INFP,107.0,31.0,9,5.2
EMP100146,Maya Wijaya,249743,2,4,5,5,1,2,1,1,5,35,90,91,CS,Conscientious-Steadiness,INTP,120.0,21.0,9,4.684210526315789
EMP100147,Hana Ridwan,335078,4,3,6,2,5,1,2,2,6,7,67,49,IS,Influencer-Steadiness,ESFJ,,34.0,5,5.222222222222222
EMP100148,Galih Zulfikar Hasibuan,703594,2,1,1,5,4,1,1,4,2,100,43,77,IS,Influencer-Steadiness,INTP,120.0,34.0,2,5.578947368421052
EMP100149,Teguh Saputra Hasibuan,512914,4,2,4,5,2,3,1,4,3,60,28,28,,Dominant-Conscientious,ESTJ,122.0,26.0,7,4.95
EMP100150,Hadi Hasibuan,207057,3,3,1,5,1,1,3,3,6,69,69,77,CS,Conscientious-Steadiness,ENFP,125.0,26.0,4,4.421052631578948
EMP100151,Wahyu Permadi,332971,4,1,3,6,5,3,1,4,1,42,35,65,DI,Dominant-Influencer,INTP,123.0,15.0,10,5.35
EMP100152,Satya Siregar,645559,3,4,2,2,5,3,3,2,5,59,33,67,IC,Influencer-Conscientious,,93.0,22.0,6,4.611111111111111
EMP100153,Arif Herlambang,692402,4,1,3,2,3,3,1,3,6,66,85,73,CI,Conscientious-Influencer,ENFJ,,31.0,9,3.947368421052632
EMP100154,Kurnia Maulida,876199,1,2,2,1,1,2,2,4,4,39,86,42,ID,Influencer-Dominant,ESFP,117.0,26.0,10,5.294117647058823
EMP100155,Citra Jatmiko Siregar,846042,1,3,3,4,3,3,1,4,2,74,73,57,CD,Conscientious-Dominant,ENTP,,,4,4.684210526315789
EMP100156,Yoga Anugrah Lestari,302014,2,1,4,3,2,3,1,4,1,66,51,58,SI,Steadiness-Influencer,ESFJ,80.0,29.0,7,5.315789473684211
EMP100157,Maya Zulfikar Purnama,229728,2,1,1,2,2,2,3,1,2,15,34,50,IC,Influencer-Conscientious,ISTJ,118.0,24.0,4,5.578947368421052
EMP100158,Lestari Syahputra,659507,3,1,4,3,5,1,3,2,6,20,33,64,SD,Steadiness-Dominant,INTJ,137.0,23.0,6,5.166666666666667
EMP100159,Nabila Mahendra,773399,4,3,4,1,5,2,3,1,5,45,94,74,CI,Conscientious-Influencer,INFJ,,29.0,4,5.3
EMP100160,Nugroho Rachman Salsabila,260531,4,1,1,6,1,2,2,4,4,83,70,90,DC,Dominant-Conscientious,INTP,133.0,25.0,4,4.4
EMP100161,Wulan Saputra Pratama,937812,4,2,6,3,5,3,1,2,4,78,42,52,CD,Conscientious-Dominant,,113.0,20.0,3,4.473684210526316
EMP100162,Eko Adi Permadi,635327,3,2,5,5,3,1,2,4,5,38,43,93,DI,Dominant-Influencer,ENTP,138.0,22.0,2,4.055555555555555
EMP100163,Oktavia Pramudita Sinaga,411227,2,4,2,6,2,3,1,3,2,74,57,96,,Influencer-Conscientious,ESTP,137.0,28.0,10,6.4375
EMP100164,Wahyu Iqbal Pratomo,906701,4,4,2,3,5,2,1,2,5,81,88,41,IS,Influencer-Steadiness,ENFJ,,34.0,9,5.294117647058823
